,ATL,BOS,BRK,CHO,CHI,CLE,DAL,DEN,HOU,DET,GSW,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
ATL,0.0,0.0,0.0,99.7,100.7,97.6,0.0,0.0,101.4,0.0,100.5,97.6,0.0,98.15,0.0,97.9,98.8,0.0,95.5,95.9,0.0,0.0,99.85,101.4,0.0,93.7,0.0,0.0,93.9,102.75
BOS,0.0,0.0,102.35,94.6,94.65,99.4,89.7,100.3,0.0,89.5,95.7,93.1,0.0,0.0,0.0,96.8,0.0,93.5,99.8,101.4,0.0,0.0,0.0,0.0,0.0,0.0,93.3,0.0,0.0,90.9
BRK,0.0,102.35,0.0,103.0,101.2,0.0,0.0,0.0,0.0,97.3,0.0,98.9,98.7,108.1,0.0,0.0,101.7,101.8,0.0,101.2,102.1,0.0,0.0,107.8,100.5,97.9,0.0,0.0,0.0,0.0
CHO,99.7,94.6,103.0,0.0,0.0,92.5,0.0,0.0,0.0,95.1,0.0,104.6,0.0,0.0,93.5,97.2,96.5,98.1,100.0,96.95,0.0,0.0,96.5,0.0,0.0,0.0,95.2,94.8,92.9,0.0
CHI,100.7,94.65,101.2,0.0,0.0,0.0,0.0,97.3,0.0,0.0,0.0,92.15,84.1,100.15,0.0,91.6,0.0,0.0,0.0,89.4,0.0,94.0,99.1,0.0,97.5,0.0,0.0,0.0,86.2,97.1
CLE,97.6,99.4,0.0,92.5,0.0,0.0,96.7,0.0,92.8,95.3,0.0,97.1,0.0,0.0,0.0,0.0,99.6,0.0,0.0,99.9,0.0,96.5,99.45,0.0,98.3,0.0,0.0,96.45,0.0,97.4
DAL,0.0,89.7,0.0,0.0,0.0,96.7,0.0,0.0,92.3,0.0,90.9,103.6,98.2,90.2,86.7,0.0,90.2,0.0,85.4,86.8,0.0,94.2,0.0,0.0,95.6,0.0,86.6,0.0,88.4,0.0
DEN,0.0,100.3,0.0,0.0,97.3,0.0,0.0,0.0,0.0,93.35,98.4,0.0,0.0,0.0,98.5,100.8,0.0,100.3,107.1,0.0,101.2,0.0,0.0,101.3,102.75,0.0,0.0,95.55,94.9,0.0
HOU,101.4,0.0,0.0,0.0,0.0,92.8,92.3,0.0,0.0,93.0,0.0,0.0,0.0,99.4,0.0,0.0,0.0,0.0,0.0,100.2,100.1,0.0,96.7,0.0,98.4,97.7,94.05,94.3,89.85,96.1
DET,0.0,89.5,97.3,95.1,0.0,95.3,0.0,93.35,93.0,0.0,0.0,0.0,91.75,0.0,0.0,93.1,93.2,0.0,0.0,92.35,95.3,95.3,0.0,101.3,0.0,0.0,85.6,95.2,0.0,0.0
